Tiempo ,CORRIENTE,VELOCIDAD,ENTRADA
3.635,0.016,0.027,0.0
3.64,0.016,0.025,0.0
3.645,0.016,0.022,0.0
3.65,0.016,0.027,0.0
3.655,0.016,0.027,0.0
3.66,0.016,0.027,0.0
3.665,0.016,0.022,0.0
3.67,0.016,0.027,0.0
3.675,0.016,0.027,0.0
3.68,0.016,0.025,0.0
3.685,0.015,0.025,0.0
3.69,0.016,0.027,0.0
3.695,0.016,0.025,0.0
3.7,0.016,0.022,0.0
3.705,0.016,0.025,0.0
3.71,0.016,0.027,0.0
3.715,0.016,0.025,0.0
3.72,0.015,0.022,0.0
3.725,0.016,0.025,0.0
3.73,0.016,0.025,0.0
3.735,0.016,0.022,0.0
3.74,0.016,0.022,0.0
3.745,0.016,0.025,0.0
3.75,0.016,0.022,0.0
3.755,0.017,0.022,0.0
3.76,0.016,0.02,0.0
3.765,0.016,0.027,0.0
3.77,0.016,0.025,0.0
3.775,0.016,0.022,0.0
3.78,0.015,0.022,0.0
3.785,0.016,0.025,0.0
3.79,0.016,0.022,0.0
3.795,0.016,0.022,0.0
3.8,0.016,0.022,0.0
3.805,0.016,0.025,0.0
3.81,0.016,0.022,0.0
3.815,0.016,0.022,0.0
3.82,0.015,0.022,0.0
3.825,0.016,0.025,0.0
3.83,0.016,0.022,0.0
3.835,0.015,0.022,0.0
3.84,0.016,0.025,0.0
3.845,0.016,0.022,0.0
3.85,0.015,0.022,0.0
3.855,0.016,0.022,0.0
3.86,0.016,0.022,0.0
3.865,0.015,0.025,0.0
3.87,0.016,0.022,0.0
3.875,0.016,0.02,0.0
3.88,0.016,0.022,0.0
3.885,0.016,0.02,0.0
3.89,0.016,0.02,0.0
3.895,0.016,0.02,0.0
3.9,0.016,0.025,0.0
3.905,0.016,0.022,0.0
3.91,0.016,0.02,0.0
3.915,0.016,0.022,0.0
3.92,0.016,0.022,0.0
3.925,0.016,0.02,0.0
3.93,0.016,0.02,0.0
3.935,0.016,0.022,0.0
3.94,0.016,0.02,0.0
3.945,0.015,0.018,0.0
3.95,0.016,0.02,0.0
3.955,0.016,0.02,0.0
3.96,0.016,0.022,0.0
3.965,0.016,0.02,0.0
3.97,0.016,0.02,0.0
3.975,0.016,0.022,0.0
3.98,0.016,0.02,0.0
3.985,0.016,0.015,0.0
3.99,0.016,0.018,0.0
3.995,0.016,0.02,0.0
4.0,0.016,0.02,0.0
4.005,0.016,0.015,0.0
4.01,0.447,0.032,3.0
4.015,0.572,0.42,3.0
4.02,0.541,0.793,3.0
4.025,0.544,1.092,3.0
4.03,0.514,1.28,3.0
4.035,0.504,1.467,3.0
4.04,0.456,1.655,3.0
4.045,0.458,1.793,3.0
4.05,0.454,1.845,3.0
4.055,0.427,2.005,3.0
4.06,0.431,2.062,3.0
4.065,0.435,2.132,3.0
4.07,0.406,2.245,3.0
4.075,0.428,2.275,3.0
4.08,0.387,2.355,3.0
4.085,0.421,2.405,3.0
4.09,0.393,2.445,3.0
4.095,0.389,2.553,3.0
4.1,0.397,2.545,3.0
4.105,0.367,2.595,3.0
4.11,0.4,2.598,3.0
4.115,0.359,2.7,3.0
